month,openai_arr,anthropic_arr,total_arr,prev_month_total,mom_growth_pct,prev_year_total,yoy_growth_pct
2023-03,200000000.0,,200000000.0,,,,
2023-08,1000000000.0,,1000000000.0,200000000.0,400.0,,
2023-10,1300000000.0,100000000.0,1400000000.0,1000000000.0,40.0,,
2023-12,2000000000.0,,2000000000.0,1400000000.0,42.9,,
2024-01,,87000000.0,87000000.0,2000000000.0,-95.7,,
2024-06,3400000000.0,,3400000000.0,87000000.0,3808.0,,
2024-08,3600000000.0,,3600000000.0,3400000000.0,5.9,,
2024-09,4000000000.0,,4000000000.0,3600000000.0,11.1,,
2024-12,5500000000.0,1000000000.0,6500000000.0,4000000000.0,62.5,,
2025-03,,2000000000.0,2000000000.0,6500000000.0,-69.2,,
2025-05,,3000000000.0,3000000000.0,2000000000.0,50.0,,
2025-06,10000000000.0,,10000000000.0,3000000000.0,233.3,,
2025-07,12000000000.0,5000000000.0,17000000000.0,10000000000.0,70.0,200000000.0,8400.0
2025-08,13000000000.0,,13000000000.0,17000000000.0,-23.5,1000000000.0,1200.0
2025-10,,7000000000.0,7000000000.0,13000000000.0,-46.2,1400000000.0,400.0
2025-12,21400000000.0,9000000000.0,30400000000.0,7000000000.0,334.3,2000000000.0,1420.0
2026-02,25000000000.0,14000000000.0,39000000000.0,30400000000.0,28.3,87000000.0,44727.6
2026-03,,19000000000.0,19000000000.0,39000000000.0,-51.3,3400000000.0,458.8
2026-04,,30000000000.0,30000000000.0,19000000000.0,57.9,3600000000.0,733.3
