quarter,alphabet_bn,amazon_bn,meta_bn,microsoft_bn,oracle_bn,calendar_year,calendar_q,period_end,total_5co_bn,total_4co_bn,qoq_5co_pct,yoy_5co_pct,qoq_4co_pct,yoy_4co_pct
2020-Q1,5.93,8.18,3.73,4.71,,2020,1,2020-03-31,22.55,22.55,,,,
2020-Q2,5.37,9.59,3.32,4.1,,2020,2,2020-06-30,22.380000000000003,22.380000000000003,-0.8,,-0.8,
2020-Q3,6.05,11.07,3.47,5.24,0.47,2020,3,2020-09-30,26.299999999999997,25.83,17.5,,15.4,
2020-Q4,6.3,13.43,4.82,5.16,0.49,2020,4,2020-12-31,30.2,29.71,14.8,,15.0,
2021-Q1,5.94,16.04,4.52,5.05,0.53,2021,1,2021-03-31,32.08,31.55,6.2,42.3,6.2,39.9
2021-Q2,6.0,16.88,4.63,5.51,0.63,2021,2,2021-06-30,33.65,33.019999999999996,4.9,50.4,4.7,47.5
2021-Q3,6.14,16.74,5.01,6.03,0.8,2021,3,2021-09-30,34.72,33.92,3.2,32.0,2.7,31.3
2021-Q4,7.19,16.91,5.96,5.96,0.95,2021,4,2021-12-31,36.970000000000006,36.02,6.5,22.4,6.2,21.2
2022-Q1,9.79,16.36,8.96,6.67,1.2,2022,1,2022-03-31,42.980000000000004,41.78,16.3,34.0,16.0,32.4
2022-Q2,6.82,16.17,7.7,6.19,1.56,2022,2,2022-06-30,38.440000000000005,36.88,-10.6,14.2,-11.7,11.7
2022-Q3,7.26,16.38,9.48,6.77,1.7,2022,3,2022-09-30,41.59,39.89,8.2,19.8,8.2,17.6
2022-Q4,7.26,15.83,9.22,6.97,2.0,2022,4,2022-12-31,41.28,39.28,-0.7,11.7,-1.5,9.1
2023-Q1,7.49,13.71,6.99,7.77,2.3,2023,1,2023-03-31,38.260000000000005,35.96000000000001,-7.3,-11.0,-8.5,-13.9
2023-Q2,6.89,12.48,6.35,8.94,2.7,2023,2,2023-06-30,37.36,34.66,-2.4,-2.8,-3.6,-6.0
2023-Q3,8.06,12.48,6.76,11.19,1.9,2023,3,2023-09-30,40.38999999999999,38.489999999999995,8.1,-2.9,11.1,-3.5
2023-Q4,11.02,14.54,7.9,11.55,1.7,2023,4,2023-12-31,46.71000000000001,45.010000000000005,15.6,13.2,16.9,14.6
2024-Q1,12.05,16.5,6.72,14.04,1.6,2024,1,2024-03-31,50.910000000000004,49.31,9.0,33.1,9.6,37.1
2024-Q2,13.19,19.21,8.47,19.0,1.67,2024,2,2024-06-30,61.54,59.87,20.9,64.7,21.4,72.7
2024-Q3,13.06,22.62,9.2,20.03,2.3,2024,3,2024-09-30,67.21,64.91,9.2,66.4,8.4,68.6
2024-Q4,14.29,26.31,14.84,22.07,3.93,2024,4,2024-12-31,81.44,77.50999999999999,21.2,74.4,19.4,72.2
2025-Q1,17.2,24.3,13.72,21.37,5.87,2025,1,2025-03-31,82.46000000000001,76.59,1.3,62.0,-1.2,55.3
2025-Q2,22.62,33.66,17.01,23.07,9.1,2025,2,2025-06-30,105.46000000000001,96.36000000000001,27.9,71.4,25.8,60.9
2025-Q3,23.95,36.07,19.37,34.94,8.5,2025,3,2025-09-30,122.83,114.33,16.5,82.8,18.6,76.1
2025-Q4,27.7,40.7,22.07,37.5,12.0,2025,4,2025-12-31,139.97,127.97,14.0,71.9,11.9,65.1
